date,NYT,MTCH,SIRI,MSGS,SNAP,LUMN,TTD,NXST,IRDM,TDS,CNK,MGNI,AD,BATRK,CARG,WLY,STGW,ZD,MUSA,WYNN,EAT,KMX,LEA,MHK,GAP,ETSY,URBN,CHDN,HRB,CROX,WH,FND,GNTX,MTN,MTH,MAT,TAP,PPC,CAG,CELH,SFM,LW,INGR,CPB,ELF,PSMT,CHEF,IPAR,CALM,FRPT,FIZZ,MZTI,CENT,COTY,RRC,PBF,SM,MTDR,NOV,MGY,AROC,MUR,CNX,OII,PTEN,CVI,WHD,DK,TDW,CRK,HP,BTU,ORI,ONB,HLI,FDS,AMG,PRI,WAL,PB,CBSH,KNSL,BOKF,VLY,OMF,WEX,GBCI,MKTX,RLI,SIGI,OZK,GMED,BIO,HSIC,PODD,RGEN,IONS,BRKR,HQY,CHE,LNTH,AMRX,RDNT,MMSI,ACAD,HAE,ITGR,ICUI,PBH,WMS,AYI,SPXC,R,FLS,SAIA,TTEK,OSK,BAH,DY,TTC,AGCO,TKR,ACM,AOS,KEX,MSA,GATX,ALK,QRVO,RMBS,VIAV,IDCC,FORM,AVT,DBX,SLAB,APPF,PLXS,EPAM,PEGA,CRUS,QLYS,CVLT,NOVT,SAIC,ITRI,WLK,ESI,NEU,MOS,EMN,CLF,EXP,SXT,HCC,BCPC,MTRN,SON,LPX,SLGN,CBT,AVNT,ASH,GPK,CTRE,ADC,CUBE,BRX,REXR,RHP,NNN,FR,STAG,VNO,MAC,EPRT,RYN,KRG,SBRA,CUZ,EPR,IRT,OGE,UGI,IDA,CWEN,SWX,ORA,POR,BKH,NJR,OGS,SR,NWE,OTTR,AWR,CPK,AVA,CWT,MGEE
2019-01-31,0.155454,0.250643,0.021016,0.038102,0.212341,0.011222,0.229364,0.06142,0.050406,0.113092,0.143017,0.19571,0.107947,0.083166,0.268011,0.102406,0.137931,0.083309,-0.040318,0.243656,-0.078672,-0.062968,0.25289,0.101146,-0.003307,0.148833,-0.027108,0.13118,-0.070161,0.105466,0.081992,0.323938,0.053672,-0.107011,0.227669,0.185185,0.186076,0.306254,0.023347,0.178668,0.019991,-0.014413,0.083151,0.085236,-0.030023,0.036379,0.004378,0.013573,0.000713,0.11847,0.168176,-0.100588,0.138171,0.182927,0.152559,0.120906,0.267443,0.255634,0.147082,0.074041,0.260347,0.169304,0.063047,0.296694,0.171981,0.164443,0.197374,0.0,0.124935,0.326711,0.167918,0.17126,-0.020419,0.048051,0.202174,0.09244,0.077073,0.150037,0.121297,0.141894,0.060848,0.043917,0.13337,0.138513,0.230547,0.151863,0.072405,0.016374,-0.043195,-0.000328,0.340134,0.040896,0.076006,-0.010443,0.023575,0.080963,0.072882,0.177696,0.045096,0.051751,0.07476,-0.092387,0.342183,0.012901,0.408782,-0.011394,0.062025,0.083482,-0.095855,0.051546,0.053015,0.062121,0.2027,0.16413,0.074346,0.066061,0.224107,0.090082,0.074204,0.064782,0.153225,0.141212,0.155094,0.126019,0.112084,0.062692,0.068776,0.050945,0.076239,0.17601,0.106468,0.101748,0.066004,0.141274,0.209496,-0.029311,0.069065,0.098669,0.21955,0.176877,0.11965,0.157747,0.118125,0.106032,0.059082,0.155213,0.11682,0.088092,-0.026693,0.105102,0.102722,0.401633,0.163362,0.124082,0.191621,0.059604,0.043121,0.083757,0.09721,0.169348,0.091989,0.131818,0.069617,0.134397,0.190683,0.116881,0.078773,0.189207,0.140143,0.204828,0.097109,0.133749,0.112927,0.138466,0.066543,0.148843,0.099314,0.207682,0.246359,0.129691,0.146949,0.138345,0.054554,0.068978,0.047712,-0.125217,0.023791,0.103442,0.053871,0.081396,0.061967,0.032036,0.071409,0.075201,-0.023973,0.010143,0.114022,-0.01483,0.039026,0.072548
2019-02-28,0.277713,0.035334,0.019229,0.036848,0.467066,-0.139035,0.384497,0.177107,0.098556,-0.11513,-0.080401,0.316143,-0.189128,0.032641,-0.000935,0.002124,0.117845,0.13696,0.057376,0.034781,0.129566,0.056482,-0.007251,0.056914,-0.001572,0.304117,-0.044892,0.019787,0.023738,-0.10585,0.07089,0.084281,-0.039659,0.106927,-0.027285,0.217905,-0.074313,-0.029121,0.079944,-0.12958,-0.027523,-0.041355,-0.066161,0.016653,-0.053571,0.061776,-0.003425,0.109991,0.045519,0.145955,-0.181894,-0.014459,-0.202244,0.433553,-0.029918,-0.143799,-0.167176,-0.046154,-0.045454,0.021595,0.048326,0.065919,-0.126853,-0.015296,0.093157,0.009714,0.104814,0.088281,0.065985,0.18802,-0.019788,-0.132235,0.035236,0.109703,0.039331,0.078634,0.047559,0.115921,0.044941,0.046528,0.052341,0.152407,0.094522,0.04451,0.112281,0.1037,0.038881,0.138137,0.071653,0.086026,0.081081,0.080799,0.084164,-0.026931,0.15667,0.044027,0.223966,0.089846,0.290985,0.105927,0.358502,0.101792,-0.000733,-0.014152,0.163301,-0.121727,0.123102,-0.012219,0.047994,-1.9e-05,0.076172,0.222185,0.082567,0.008401,0.103218,0.089816,0.040338,0.080535,-0.223428,0.152605,0.055095,0.0254,0.011434,0.08504,-0.009211,0.03593,0.050476,-0.030084,0.073133,0.138581,0.180755,-0.042302,0.05526,0.055583,-0.034399,0.059085,0.141684,0.100499,0.143483,0.167348,0.080215,-0.033514,0.019979,0.172933,0.1126,-0.029654,-0.051321,0.00178,0.094518,-0.031289,0.025676,0.035481,0.076619,0.036527,0.019144,0.068779,0.233482,0.012388,0.041818,0.024982,0.006764,0.007723,0.02277,0.009114,0.016378,-0.004543,-0.010016,0.019264,0.020238,0.007965,-0.011573,0.024449,0.008268,-0.037191,-0.039155,0.067297,-0.031866,-0.053517,-0.097739,0.075706,0.010878,-0.008613,0.03834,-0.037349,0.015943,0.006953,0.053188,-0.032576,0.037666,0.05307,-0.002062,0.058599,-0.00063,0.072446,0.045157,0.054536,-0.006183,-0.025312,0.054622,-0.000805
2019-03-29,0.0,0.02221,-0.043845,0.017318,0.12449,-0.072118,0.002076,0.108872,0.241897,-0.036221,0.072055,0.035775,-0.016706,-0.002514,-0.062485,-0.147813,-0.322289,0.018704,0.100938,-0.057057,-0.021875,0.123994,-0.107582,-0.073244,0.030709,-0.056826,-0.039222,-0.03774,0.001631,0.002726,-0.043717,0.108661,0.016715,0.051515,0.019613,-0.098474,-0.026122,0.133198,0.186992,0.196626,-0.076329,0.081229,0.031111,0.058579,0.333333,-0.089391,-0.029991,0.032192,0.012018,0.025958,-0.158332,0.003731,-0.182865,0.045455,0.052415,0.002253,0.07038,0.039248,-0.051555,-0.02439,0.002049,0.01384,0.016038,0.020712,0.060467,0.035436,-0.018202,0.037098,0.010898,-0.029411,0.025092,-0.022697,0.012534,-0.077616,0.003063,0.055704,-0.022808,-0.023112,-0.113032,-0.067192,-0.073435,0.027112,-0.098297,-0.08302,-0.037879,0.078232,-0.085578,0.009021,0.017442,-0.040631,-0.116464,0.014787,0.128387,0.013659,0.012565,-0.007392,0.1434,0.007053,-0.080765,-0.027734,0.071335,0.047302,-0.091642,0.109456,0.013208,0.007022,-0.170844,-0.026164,0.022215,0.013768,-0.077697,-0.043179,-0.002735,0.020819,-0.076481,-0.007163,-0.034443,0.099887,0.019077,0.007077,0.02915,0.005301,-0.041667,0.026767,0.011991,9.7e-05,-0.03378,-0.090438,0.022669,0.017527,-0.057121,-0.053779,0.015142,0.001989,-0.086337,-0.001975,0.098506,-0.013115,0.045432,-0.010345,0.048343,-0.010642,-0.039323,0.036706,0.030121,-0.119977,-0.028768,-0.10302,-0.00843,-0.125908,-0.075353,-0.099188,0.102826,0.047759,0.040028,0.04587,-0.012461,0.062878,-0.03522,0.050638,-0.111988,-0.095816,0.009693,0.043185,0.060272,0.063356,0.056113,0.052119,0.050072,0.026483,0.063148,0.061841,0.07553,0.001931,-0.005734,0.162728,0.079325,0.036777,0.074504,0.014706,0.051657,0.059076,0.014111,0.014265,0.011483,0.008005,0.003905,-0.010226,0.041232,0.043533,0.034735,0.029844,0.045251,0.035713,-0.009149,0.002391,0.01736,0.005197,0.043444,0.063361
2019-04-30,0.01064,0.066949,0.024691,0.065875,0.010889,-0.04754,0.118868,0.080096,0.038578,0.037423,0.051513,0.050987,0.047702,0.013684,0.016975,0.052176,-0.066667,0.011778,-0.001752,0.21061,-0.036278,0.115473,0.053717,0.080063,0.005424,0.00476,0.003036,0.117328,0.136591,0.081553,0.114623,0.164968,0.119659,0.053152,0.144039,-0.062308,0.076111,0.207267,0.117268,-0.028169,-0.005571,-0.065252,0.000634,0.02376,0.206604,0.015795,0.052496,-0.04455,-0.072824,0.056042,-0.029967,-0.050929,0.055556,-0.05913,-0.19573,0.078356,-0.086562,0.018624,-0.018769,0.098333,0.033743,-0.070307,-0.168059,0.217502,-0.03067,0.107039,0.019663,0.017573,-0.029754,-0.119769,0.053275,0.015532,0.068833,0.041464,0.075682,0.111169,0.035571,0.066639,0.16423,0.066319,0.04082,0.058771,0.068547,0.093946,0.069921,0.095369,0.069445,0.131055,0.133519,0.126897,0.135222,-0.087432,-0.015539,0.065713,-0.092965,0.140487,-0.084268,0.004162,-0.084212,0.020964,-0.013072,-0.091743,-0.022599,-0.09138,-0.104283,-0.002286,-0.08393,-0.04943,-0.016382,0.088475,0.220414,0.049152,0.016293,0.086176,0.053846,0.086088,0.099295,0.01978,0.079451,0.062609,0.017685,0.099267,0.142568,-0.010171,0.088004,0.062959,0.009952,0.102994,0.054092,0.096651,0.074313,-0.003864,0.17775,0.120821,0.118349,0.331437,0.223048,-0.012633,0.060486,0.154,0.130972,0.090887,-0.187519,0.027027,-0.021157,0.150268,0.027852,0.075248,-0.032245,-0.04394,0.039536,0.004761,0.079686,0.034371,0.019737,0.093858,0.017,0.024866,0.027482,0.010462,0.09008,-0.056978,0.030718,0.098971,0.033675,-0.055811,-0.004057,-0.011625,0.058084,-0.032101,-0.040989,-0.002545,-0.02536,0.025208,-0.074048,0.059426,0.008566,-0.012508,0.004622,-0.001781,0.0304,-0.018536,-0.009577,-0.01642,-0.005224,0.050298,0.011305,0.058205,0.009066,-0.017686,0.005824,-0.005728,0.023089,-0.007954,0.029707,-0.001824,0.015678,0.062038,-0.071665,-0.002648
2019-05-31,-0.040121,0.136589,-0.084144,-0.05313,0.067325,-0.063047,-0.102357,-0.140814,-0.219592,-0.096298,-0.096551,-0.13928,-0.094595,-0.054707,-0.161512,-0.095279,0.333333,-0.032934,-0.060957,-0.25074,-0.121581,0.005394,-0.167623,-0.005138,-0.283743,-0.077436,-0.244198,-0.022509,-0.035281,-0.306284,-0.042714,-0.260308,-0.072514,-0.060039,-0.020528,-0.191961,-0.137018,-0.049796,-0.130279,-0.033819,-0.063959,-0.151755,-0.1962,-0.061515,-0.203284,-0.187427,-0.030906,-0.10636,-0.099489,0.040528,-0.19375,-0.032815,0.043365,0.14048,-0.134956,-0.205404,-0.269931,-0.165058,-0.202372,-0.163125,-0.110986,-0.079481,-0.138393,-0.145833,-0.217807,-0.052929,-0.103306,-0.16783,-0.052889,-0.281968,-0.153938,-0.178171,-0.013864,-0.059209,-0.077104,0.011064,-0.241664,-0.115992,-0.138761,-0.119908,-0.051299,0.155234,-0.135018,-0.062978,-0.113661,-0.101569,-0.074666,0.071908,0.058791,0.007635,-0.114855,-0.12841,-0.046522,0.006244,0.272928,0.031018,-0.117449,0.083169,-0.035277,0.004461,-0.007036,-0.414141,-0.002477,-0.08099,-0.002495,0.111251,0.014619,-0.064615,-0.013256,0.061896,-0.154856,-0.185205,-0.1912,-0.052621,-0.083709,0.045645,-0.13498,0.065441,0.052027,-0.109227,-0.057487,-0.076531,-0.058997,-0.229599,-0.053108,-0.092206,-0.094775,-0.054469,-0.190848,-0.008726,-0.093985,-0.028598,-0.242216,-0.159844,-0.074651,-0.130875,-0.007311,-0.176969,-0.037745,-0.038262,-0.214586,-0.018281,-0.124525,-0.080441,0.023883,0.055721,-0.175231,-0.128913,-0.077649,-0.17771,-0.176977,-0.129129,-0.053349,-0.029676,-0.036947,-0.10659,0.043429,-0.01278,-0.08387,-0.028059,-0.112367,-0.09081,-0.066904,-0.063401,0.002474,0.022606,0.056722,-0.040828,-0.002375,0.004397,0.017294,-0.015878,0.018065,-0.032694,-0.078604,0.028046,-0.114501,-0.037365,0.008667,-0.054336,-0.004869,0.036828,-0.018422,-0.053201,0.019151,-0.042176,0.030126,0.013468,0.010514,0.054303,-0.052516,-0.005223,-0.010334,0.015605,-0.025094,0.028772,-0.020077,-0.022931,-0.019313,-0.017895
2019-06-28,0.025142,-0.020102,0.050848,-0.053745,0.202691,0.125359,0.145717,0.008487,0.085395,0.061082,-0.041049,0.156364,0.025718,0.051109,0.057084,0.097654,-0.1,0.054573,0.046972,0.155222,0.057644,0.109223,0.176669,0.087938,-0.038008,-0.015086,0.012461,0.167275,0.126423,0.022257,0.050386,0.179617,0.152154,0.045591,0.02475,0.138071,0.018552,-0.007039,-0.009339,0.110003,-0.057855,0.069367,0.091558,0.103553,0.38371,0.051852,0.107357,0.030817,0.126959,-0.020658,-0.011517,0.037732,-0.042629,0.096418,-0.104695,0.185606,0.076527,0.209245,0.068788,0.049863,0.195041,-0.008048,-0.053109,0.243293,0.086773,0.177066,0.017512,0.323751,0.10183,0.27169,0.034962,0.02466,0.024256,0.040777,-0.015041,0.03005,0.09926,0.044315,0.086756,0.025343,0.045244,0.091777,0.00734,0.109428,0.131905,0.101408,0.028926,0.079242,-0.001979,0.045219,0.041176,0.076336,0.08943,0.084393,0.087349,0.237225,-0.020274,0.195835,0.000612,0.100323,0.179658,-0.049072,0.141556,0.153593,0.114214,0.240746,0.197147,0.183788,0.091285,0.143305,0.115145,0.110289,0.154455,0.138667,0.096102,0.163359,0.172777,0.051824,0.128426,0.030037,0.165415,0.166553,0.18652,0.164444,0.020936,0.060475,0.142655,0.09811,0.088754,0.059859,0.102905,0.013854,0.091226,0.113882,0.110372,0.105055,0.060892,0.178478,0.002955,-0.01247,0.169387,-0.017267,0.077524,0.178455,0.127965,0.104501,0.212428,0.093023,0.040517,0.168384,0.208962,0.226436,0.078384,0.085377,0.012011,0.102327,0.121754,0.056769,0.148992,0.055537,0.194542,0.257485,0.068118,0.081202,-0.012264,-0.034666,0.001258,0.042566,0.072991,0.026033,-0.009714,0.065312,0.040488,-0.032161,-0.078172,-0.046734,0.085962,0.015262,0.020736,-0.000829,-0.0401,0.070489,0.024061,0.040772,0.001596,0.124001,0.05262,0.073679,0.031934,0.025853,0.055089,0.031293,0.014257,0.025129,0.063217,0.031533,0.051202,0.068008,0.028647,0.103261
2019-07-31,0.095386,0.119221,0.121864,0.036079,0.174825,0.028061,0.155984,0.007624,0.093723,0.063816,0.105817,0.196541,0.072084,0.028602,0.032124,-0.000273,-0.007937,0.00225,0.051529,0.049036,0.012707,0.010711,-0.089682,-0.154472,0.099601,0.092065,0.046593,0.039802,-0.054949,0.156962,0.014532,-0.065632,0.119566,0.104579,0.223413,0.302409,-0.035893,0.065774,0.096623,0.123872,-0.103759,0.059344,-0.063038,0.040491,0.176596,0.193271,0.03992,0.041961,-0.046741,-0.00791,-0.024647,0.048587,0.127273,-0.185821,-0.184814,-0.107668,-0.203674,-0.113179,0.071525,-0.034542,0.035849,-0.024747,0.124487,-0.242276,0.010426,0.061612,-0.113225,0.063179,-0.020869,0.226212,-0.01857,-0.126141,0.019213,0.061483,0.033011,-0.032314,-0.068917,0.022843,0.105546,0.050567,0.019611,-0.017709,0.108638,0.03525,0.225968,0.04791,0.040367,0.048596,0.051569,0.00414,0.024652,0.077541,0.00739,-0.048069,0.029821,0.098197,0.024739,-0.042042,0.253517,0.123462,-0.200707,-0.48954,0.068165,-0.337475,-0.080434,0.014459,0.043017,0.010043,0.092172,0.00427,-0.025806,0.056935,-0.086449,-0.050484,0.179836,0.008275,0.000958,0.038363,-0.06302,0.08849,-0.007348,-0.109661,-0.050198,-0.031396,-0.008101,-0.000379,-0.030647,-0.008606,0.100285,0.034884,0.103837,0.00594,0.070836,0.003313,-0.059481,0.085203,-0.05593,0.022957,0.119526,0.061649,0.122426,-0.005972,-0.08424,-0.108271,-0.009587,-0.00911,-0.02721,-0.030948,0.051554,0.006392,-0.031864,0.004573,-0.107012,-0.072265,-0.052833,0.026708,-0.083764,-0.081267,-0.003051,-0.017647,-0.06267,0.043963,-0.006127,0.062947,-0.023128,0.043716,0.015251,0.078107,0.025514,-0.075102,-0.004913,0.039466,-0.013325,0.003432,-0.013138,0.053892,-0.041584,0.051554,0.048247,-0.01966,0.002881,0.067415,0.017697,-0.043438,0.01623,0.068801,-0.007922,0.034075,0.012553,0.012537,0.002009,0.009746,-0.017993,-0.030908,0.010793,0.029639,-0.016418,0.032063,0.054513,0.014642
2019-08-30,-0.181614,0.126312,-0.012437,-0.130016,-0.057738,-0.03792,-0.066613,-0.023684,-0.049528,-0.220779,-0.044088,0.344284,-0.248486,-0.045534,-0.124765,-0.022193,-0.06,-0.050398,0.01177,-0.144953,-0.046424,-0.051048,-0.108272,-0.046515,-0.190257,-0.212325,-0.0168,0.030171,-0.125316,-0.02407,-0.091424,0.257216,-0.029905,-0.041538,0.04028,-0.328767,-0.037993,0.151515,-0.017666,-0.178353,0.060248,0.051853,-0.000259,0.088534,-0.016275,-0.003426,0.057856,-0.072027,0.019362,0.087043,-0.060418,-0.063664,-0.130349,-0.124656,-0.374342,-0.140096,-0.049148,-0.112309,-0.142317,-0.086762,-0.102343,-0.231304,-0.030414,-0.161165,-0.256234,-0.239218,-0.132788,-0.23246,-0.314484,-0.162518,-0.230936,-0.118349,0.024113,-0.038619,-0.039565,-0.016221,-0.10324,-0.025883,-0.116566,-0.064418,-0.061812,0.094059,-0.084409,-0.058243,-0.080865,-0.061998,-0.052971,0.181506,0.018572,0.061562,-0.156311,0.120448,0.072436,-0.07394,0.254026,-0.016739,-0.040237,-0.096967,-0.275921,0.060095,-0.038019,-0.303279,-0.055669,-0.118601,0.125305,0.093791,-0.172855,-0.36429,-0.078613,-0.044015,-0.065638,0.087393,-0.084551,-0.146912,0.121101,0.026195,-0.155803,0.101801,-0.193256,-0.011123,-0.100217,-0.11486,-0.013074,0.023542,-0.060873,0.006801,-0.034348,-0.051952,-0.025379,0.006421,-0.05317,-0.236846,0.018474,-0.077719,-0.240238,-0.028607,0.022993,-0.041869,-0.012694,-0.07209,0.093578,-0.080176,-0.045555,-0.108098,0.030924,0.120161,-0.128881,-0.068863,0.126041,-0.269948,-0.132449,-0.25516,0.017033,-0.03672,-0.153503,-0.134937,-0.051225,-0.040133,-0.074849,-0.006322,-0.097442,-0.023192,-0.074995,-0.07066,0.024106,0.117277,0.057143,-0.028978,0.067391,0.062133,0.074847,0.019901,-0.017458,-0.049986,-0.114537,0.075285,-0.077135,-0.101823,0.06982,-0.013644,0.056432,0.126316,-0.001862,-0.040813,0.082515,-0.006564,0.032407,0.134733,0.037192,-0.024397,-0.082815,0.010287,0.030215,0.036041,-0.045245,0.198738,0.011984,0.027498,0.061031,0.027741
2019-09-30,-0.024658,-0.157547,0.014587,0.044347,-0.001895,0.096661,-0.236888,0.034584,-0.119934,0.03004,0.021682,-0.148583,0.044179,0.010561,-0.051196,-0.012584,0.2,0.073523,-0.045861,-0.012982,0.133836,0.056676,0.050241,0.04357,0.09943,0.070278,0.199915,0.001622,-0.014373,0.244843,0.012488,0.039212,0.035338,-0.036905,0.076676,0.162245,0.119549,0.028562,0.081805,-0.151222,0.077437,0.033102,0.066194,0.042666,0.072917,0.176568,0.045101,0.092763,-0.014307,0.014059,0.084597,-0.04552,0.106359,0.114583,0.077602,0.147257,0.022151,0.05623,0.039852,0.087169,0.026777,0.212835,-0.089084,0.045525,-0.006855,0.106838,0.136239,0.108397,-0.041244,0.361888,0.065975,-0.201302,0.062636,0.02381,0.028067,-0.107023,0.087694,0.067634,0.061262,0.094328,0.067628,0.051715,0.039533,0.04453,0.023152,-0.012124,0.019401,-0.176349,0.014634,-0.055758,0.056976,0.000979,-0.014717,0.03051,0.069793,-0.173688,-0.052207,0.017605,-0.037315,-0.027618,0.151884,0.137255,0.032351,-0.124209,0.301157,-0.055343,0.043646,-0.013292,0.088143,0.028034,0.074794,0.054282,0.074735,0.098751,0.095394,0.069526,0.078696,-0.059462,0.147191,0.021059,0.095197,0.082877,0.058625,0.02558,0.116456,0.032945,0.050599,0.086906,0.037939,0.047049,0.008639,0.067114,0.091281,0.067134,0.126816,0.02156,-0.036752,0.092641,-0.047091,-0.029505,-0.001119,-0.050867,0.030897,0.0896,-0.007499,0.064939,0.118279,0.091105,-0.001463,0.117855,0.138874,-0.09068,0.06913,0.05098,-0.066028,0.11713,0.042828,0.017657,0.022463,0.009409,0.133,0.025708,0.052021,0.073786,-0.002457,-0.012926,-0.018624,0.100922,0.000311,0.038239,0.004453,0.021525,0.017809,0.052919,0.107255,0.018452,0.062317,0.153151,0.06198,0.083285,-0.012989,0.041751,0.058549,0.032875,0.026045,0.031073,-0.002082,0.000269,-0.002342,0.000261,-0.004424,0.049121,0.034814,0.044199,0.061834,-0.028856,0.012181,0.032836,-0.06219,0.052999
2019-10-31,0.08688,0.021696,0.073483,0.012902,-0.046835,0.036859,0.070648,-0.049066,0.149906,0.011241,-0.052795,-0.02411,-0.009579,0.05982,0.085299,0.05664,0.109929,0.045585,0.382532,0.116078,0.041716,0.05875,-0.001103,0.155638,-0.049424,-0.212566,0.021716,0.052892,0.058002,0.260447,0.0431,-0.104008,0.023019,0.028979,0.024733,0.048288,-0.083131,-0.05273,-0.111508,0.011491,0.003619,0.075925,-0.033521,-0.005559,-0.040548,0.042194,-0.178323,0.106617,-0.001752,0.05003,-0.009017,0.003822,0.027027,0.112273,0.054973,0.187201,-0.185817,-0.1585,0.066981,-0.115316,-0.0331,-0.066938,0.161157,0.045018,-0.026901,0.076993,0.026952,0.100551,0.074123,-0.121951,-0.064138,-0.278121,-0.052184,0.046511,0.047893,0.043421,-0.041632,-0.008253,0.07053,-0.022795,0.061171,0.023328,-0.025269,0.065318,0.090512,-0.06379,0.053567,0.125466,0.047465,-0.080729,0.038913,0.024452,-0.003366,-0.014331,-0.118899,0.036511,-0.069938,0.012975,-0.006212,-0.056662,-0.168163,0.062069,0.087744,-0.321733,0.178383,-0.042889,0.024881,0.012594,0.022197,0.147195,-0.073212,0.138215,-0.060653,0.045601,-0.048026,0.008184,0.126386,-0.009152,-0.106954,0.052251,0.013078,0.126178,0.065229,0.046393,-0.036514,0.100449,0.026055,0.069635,0.090639,0.054836,0.139186,0.029034,0.170509,-0.110812,-0.017353,-0.045891,0.021968,0.182851,-0.034884,0.105217,0.268384,0.129152,0.110937,0.089697,-0.049933,0.031098,-0.035562,0.066797,0.028384,-0.030244,0.029934,0.01633,0.015938,-0.088711,0.000188,0.020365,-0.073664,-0.008761,0.189178,0.024301,-0.038173,-0.018377,0.004153,0.061695,0.03127,0.076828,-0.091691,0.100481,0.092458,0.028847,0.053824,0.064459,0.05698,0.030784,-0.129472,0.120035,-0.043262,0.103406,0.071428,0.076007,0.016944,0.076171,-0.042598,-0.051721,-0.044821,-0.006576,-0.041081,0.030556,0.009047,0.027369,-0.035825,-0.034023,-0.036451,-0.033711,0.054511,0.058647,-0.005456,-0.008464,0.057434,-0.035432
