BRIEFING TABLE as of 2026-08-31 (month-end). Trailing total returns in percent, dividends reinvested. 200 stocks.
Ticker | Company | Sector | 1M | 3M | 12M
ACAD | ACADIA Pharmaceuticals Inc. | Health Care | +11.8 | +33.5 | +11.2
ACM | AECOM | Industrials | -6.9 | -2.4 | -45.3
AD | Array Digital Infrastructure, Inc. | Communication Services | +5.2 | -8.7 | +3.9
ADC | Agree Realty Corporation | Real Estate | -6.8 | -1.5 | +3.6
AGCO | AGCO Corporation | Industrials | +16.2 | +5.7 | +10.5
ALK | Alaska Air Group, Inc. | Industrials | -12.9 | -10.2 | -34.2
AMG | Affiliated Managers Group, Inc. | Financials | +0.4 | +21.6 | +63.8
AMRX | Amneal Pharmaceuticals, Inc. | Health Care | -4.6 | +32.7 | +82.7
AOS | A. O. Smith Corporation | Industrials | -1.7 | +4.9 | -15.2
APPF | AppFolio, Inc. | Information Technology | +30.0 | +45.3 | -15.6
AROC | Archrock, Inc. | Energy | -11.3 | -5.3 | +30.9
ASH | Ashland Inc. | Materials | +1.0 | +27.6 | +33.5
AVA | Avista Corporation | Utilities | -7.0 | -9.2 | +6.7
AVNT | Avient Corporation | Materials | +21.3 | +25.3 | +21.6
AVT | Avnet, Inc. | Information Technology | +0.8 | +3.4 | +68.0
AWR | American States Water Company | Utilities | +4.9 | +16.3 | +23.0
AYI | Acuity Inc. | Industrials | +1.0 | +8.8 | +1.9
BAH | Booz Allen Hamilton Holding Corporation | Industrials | +9.3 | -3.0 | -28.4
BATRK | Atlanta Braves Holdings, Inc. | Communication Services | -2.5 | +0.0 | +10.2
BCPC | Balchem Corporation | Materials | +5.0 | +12.2 | +9.2
BIO | Bio-Rad Laboratories, Inc. | Health Care | +18.6 | +23.6 | +29.6
BKH | Black Hills Corporation | Utilities | +1.6 | -0.6 | +24.5
BOKF | BOK Financial Corporation | Financials | -3.3 | +6.7 | +24.6
BRKR | Bruker Corporation | Health Care | -7.7 | -1.4 | +71.6
BRX | Brixmor Property Group Inc. | Real Estate | -8.3 | -4.5 | +7.8
BTU | Peabody Energy Corporation | Energy | +39.7 | +10.1 | +72.5
CAG | Conagra Brands, Inc. | Consumer Staples | +10.4 | +22.0 | -9.6
CALM | Cal-Maine Foods, Inc. | Consumer Staples | -10.1 | +5.6 | -29.8
CARG | CarGurus, Inc. | Communication Services | -1.6 | +19.4 | +3.1
CBSH | Commerce Bancshares, Inc. | Financials | -2.6 | +11.1 | -0.2
CBT | Cabot Corporation | Materials | -5.5 | -5.0 | +3.9
CELH | Celsius Holdings, Inc. | Consumer Staples | +7.7 | -5.5 | -50.0
CENT | Central Garden & Pet Company | Consumer Staples | -0.2 | +11.7 | +18.0
CHDN | Churchill Downs Incorporated | Consumer Discretionary | +3.8 | +0.3 | -15.3
CHE | Chemed Corporation | Health Care | -2.4 | +21.8 | +13.9
CHEF | The Chefs' Warehouse, Inc. | Consumer Staples | -2.5 | +46.9 | +78.1
CLF | Cleveland-Cliffs Inc. | Materials | +0.3 | -15.1 | +7.4
CNK | Cinemark Holdings, Inc. | Communication Services | -2.4 | +27.5 | +39.7
CNX | CNX Resources Corporation | Energy | +1.6 | +8.0 | +24.6
COTY | Coty Inc. | Consumer Staples | +3.6 | +33.8 | -33.4
CPB | The Campbell's Company | Consumer Staples | +7.7 | +14.1 | -21.1
CPK | Chesapeake Utilities Corporation | Utilities | +0.6 | +8.9 | +10.5
CRK | Comstock Resources, Inc. | Energy | +8.8 | +8.3 | -10.5
CROX | Crocs, Inc. | Consumer Discretionary | -6.0 | +1.4 | +38.1
CRUS | Cirrus Logic, Inc. | Information Technology | -15.3 | -35.6 | -4.1
CTRE | CareTrust REIT, Inc. | Real Estate | -7.1 | -3.7 | +17.7
CUBE | CubeSmart | Real Estate | -4.2 | +0.6 | +2.6
CUZ | Cousins Properties Incorporated | Real Estate | -8.1 | +9.3 | +3.2
CVI | CVR Energy, Inc. | Energy | +17.9 | +26.4 | +38.1
CVLT | Commvault Systems, Inc. | Information Technology | +16.7 | +15.8 | -26.3
CWEN | Clearway Energy, Inc. | Utilities | +0.1 | -22.0 | +12.1
CWT | California Water Service Group | Utilities | +0.4 | +11.5 | +9.5
DBX | Dropbox, Inc. | Information Technology | +8.1 | +30.9 | +21.1
DK | Delek US Holdings, Inc. | Energy | +9.9 | +67.6 | +174.3
DY | Dycom Industries, Inc. | Industrials | -27.4 | -42.9 | +15.3
EAT | Brinker International, Inc. | Consumer Discretionary | +6.9 | +60.5 | +46.5
ELF | e.l.f. Beauty, Inc. | Consumer Staples | +31.6 | +94.7 | -12.8
EMN | Eastman Chemical Company | Materials | +3.6 | -3.4 | +8.1
EPAM | EPAM Systems, Inc. | Information Technology | +11.6 | +15.0 | -33.2
EPR | EPR Properties | Real Estate | -4.9 | +4.5 | +15.6
EPRT | Essential Properties Realty Trust, Inc. | Real Estate | -4.1 | -0.9 | -0.2
ESI | Element Solutions Inc | Materials | -3.2 | -16.1 | +39.6
ETSY | Etsy, Inc. | Consumer Discretionary | -0.4 | +19.7 | +53.4
EXP | Eagle Materials Inc. | Materials | -5.2 | -12.1 | -15.5
FDS | FactSet Research Systems Inc. | Financials | +19.6 | +28.2 | -14.5
FIZZ | National Beverage Corp. | Consumer Staples | +0.0 | -5.4 | -16.8
FLS | Flowserve Corporation | Industrials | +4.1 | +5.0 | +49.3
FND | Floor & Decor Holdings, Inc. | Consumer Discretionary | -12.7 | -2.2 | -38.6
FORM | FormFactor, Inc. | Information Technology | -5.3 | -19.2 | +244.7
FR | First Industrial Realty Trust, Inc. | Real Estate | -6.0 | +0.8 | +21.6
FRPT | Freshpet, Inc. | Consumer Staples | +17.3 | +35.4 | +25.2
GAP | The Gap, Inc. | Consumer Discretionary | +11.1 | +6.5 | +4.5
GATX | GATX Corporation | Industrials | -2.2 | +3.9 | +5.5
GBCI | Glacier Bancorp, Inc. | Financials | -6.0 | -2.0 | -3.1
GMED | Globus Medical, Inc. | Health Care | +3.3 | -0.6 | +32.8
GNTX | Gentex Corporation | Consumer Discretionary | -4.2 | -6.9 | -18.5
GPK | Graphic Packaging Holding Company | Materials | +4.4 | +0.5 | -48.0
HAE | Haemonetics Corporation | Health Care | +20.5 | +52.0 | +89.0
HCC | Warrior Met Coal, Inc. | Materials | +36.4 | +14.6 | +77.7
HLI | Houlihan Lokey, Inc. | Financials | +6.2 | -5.4 | -32.1
HP | Helmerich & Payne, Inc. | Energy | +26.8 | +14.9 | +114.7
HQY | HealthEquity, Inc. | Health Care | -4.0 | +9.7 | +8.1
HRB | H&R Block, Inc. | Consumer Discretionary | +17.3 | +35.7 | +7.0
HSIC | Henry Schein, Inc. | Health Care | +4.7 | +17.3 | +29.1
ICUI | ICU Medical, Inc. | Health Care | +2.6 | +27.7 | +35.5
IDA | IDACORP, Inc. | Utilities | -4.1 | -2.3 | +11.7
IDCC | InterDigital, Inc. | Information Technology | +9.9 | +33.2 | +24.4
INGR | Ingredion Incorporated | Consumer Staples | +4.0 | +2.9 | -17.7
IONS | Ionis Pharmaceuticals, Inc. | Health Care | +16.6 | -21.1 | +41.6
IPAR | Interparfums, Inc. | Consumer Staples | -5.7 | +25.4 | +5.7
IRDM | Iridium Communications Inc. | Communication Services | -0.8 | -9.0 | +93.7
IRT | Independence Realty Trust, Inc. | Real Estate | -2.7 | +0.8 | -6.8
ITGR | Integer Holdings Corporation | Health Care | +3.3 | +40.1 | +16.1
ITRI | Itron, Inc. | Information Technology | -2.7 | +17.6 | -21.1
KEX | Kirby Corporation | Industrials | +8.2 | +0.9 | +45.9
KMX | CarMax, Inc. | Consumer Discretionary | +7.1 | +37.4 | +0.0
KNSL | Kinsale Capital Group, Inc. | Financials | +5.0 | +22.8 | -18.1
KRG | Kite Realty Group Trust | Real Estate | -9.9 | -4.9 | +19.1
LEA | Lear Corporation | Consumer Discretionary | -4.3 | -12.2 | +16.6
LNTH | Lantheus Holdings, Inc. | Health Care | +1.3 | +1.7 | +83.9
LPX | Louisiana-Pacific Corporation | Materials | -2.3 | -7.3 | -24.7
LUMN | Lumen Technologies, Inc. | Communication Services | -2.0 | -43.1 | +25.8
LW | Lamb Weston Holdings, Inc. | Consumer Staples | +4.5 | +27.2 | -2.3
MAC | The Macerich Company | Real Estate | -8.6 | +5.6 | +32.8
MAT | Mattel, Inc. | Consumer Discretionary | -0.9 | +0.1 | -18.3
MGEE | MGE Energy, Inc. | Utilities | -2.3 | +3.6 | -7.1
MGNI | Magnite, Inc. | Communication Services | +21.7 | +63.9 | -9.5
MGY | Magnolia Oil & Gas Corporation | Energy | +5.2 | -1.2 | +10.8
MHK | Mohawk Industries, Inc. | Consumer Discretionary | +4.2 | +19.4 | -3.3
MKTX | MarketAxess Holdings Inc. | Financials | +0.7 | +25.7 | -9.8
MMSI | Merit Medical Systems, Inc. | Health Care | +6.6 | +43.8 | +0.1
MOS | The Mosaic Company | Materials | +9.0 | +0.9 | -25.3
MSA | MSA Safety Incorporated | Industrials | -1.6 | +13.0 | +10.8
MSGS | Madison Square Garden Sports Corp. | Communication Services | -2.3 | +2.8 | +94.5
MTCH | Match Group, Inc. | Communication Services | +3.1 | +13.1 | +11.4
MTDR | Matador Resources Company | Energy | +17.2 | +9.1 | +18.9
MTH | Meritage Homes Corporation | Consumer Discretionary | -1.1 | +7.1 | -8.3
MTN | Vail Resorts, Inc. | Consumer Discretionary | -8.3 | +4.1 | -11.0
MTRN | Materion Corporation | Materials | +12.0 | +7.4 | +113.8
MUR | Murphy Oil Corporation | Energy | -7.4 | +1.7 | +52.5
MUSA | Murphy USA Inc. | Consumer Discretionary | -15.1 | +2.0 | +37.7
MZTI | The Marzetti Company | Consumer Staples | +5.4 | +1.6 | -36.6
NEU | NewMarket Corporation | Materials | +5.6 | +16.5 | +10.3
NJR | New Jersey Resources Corporation | Utilities | -7.9 | -2.6 | +17.2
NNN | NNN REIT, Inc. | Real Estate | -4.9 | +2.9 | +11.4
NOV | NOV Inc. | Energy | +9.6 | +7.6 | +64.1
NOVT | Novanta Inc. | Information Technology | +2.6 | -8.2 | +25.6
NWE | NorthWestern Energy Group, Inc. | Utilities | +1.6 | -0.2 | +26.5
NXST | Nexstar Media Group, Inc. | Communication Services | -3.5 | +3.1 | -7.6
NYT | The New York Times Company | Communication Services | -10.2 | -10.3 | +13.7
OGE | OGE Energy Corp. | Utilities | -3.6 | -2.5 | +6.0
OGS | ONE Gas, Inc. | Utilities | +3.0 | +2.8 | +7.1
OII | Oceaneering International, Inc. | Energy | +6.1 | +35.4 | +112.1
OMF | OneMain Holdings, Inc. | Financials | +1.4 | +14.8 | +8.4
ONB | Old National Bancorp | Financials | -4.0 | +7.2 | +14.5
ORA | Ormat Technologies, Inc. | Utilities | +4.6 | -25.6 | +11.5
ORI | Old Republic International Corporation | Financials | -3.4 | +13.0 | +13.8
OSK | Oshkosh Corporation | Industrials | +8.6 | +19.0 | +12.3
OTTR | Otter Tail Corporation | Utilities | +3.0 | +5.1 | +10.5
OZK | Bank OZK | Financials | -4.3 | +2.4 | -2.8
PB | Prosperity Bancshares, Inc. | Financials | -4.4 | +4.6 | +7.1
PBF | PBF Energy Inc. | Energy | +1.4 | +80.0 | +174.1
PBH | Prestige Consumer Healthcare Inc. | Health Care | +3.1 | +8.9 | -23.9
PEGA | Pegasystems Inc. | Information Technology | +20.8 | +3.4 | -31.7
PLXS | Plexus Corp. | Information Technology | -4.7 | -10.8 | +74.8
PODD | Insulet Corporation | Health Care | -10.1 | +2.6 | -56.3
POR | Portland General Electric Company | Utilities | -1.0 | -1.5 | +19.4
PPC | Pilgrim's Pride Corporation | Consumer Staples | +14.7 | +10.8 | -29.4
PRI | Primerica, Inc. | Financials | -9.7 | +7.0 | +8.6
PSMT | PriceSmart, Inc. | Consumer Staples | -12.0 | +0.4 | +59.8
PTEN | Patterson-UTI Energy, Inc. | Energy | +20.6 | +13.8 | +128.4
QLYS | Qualys, Inc. | Information Technology | +28.6 | +70.3 | +37.1
QRVO | Qorvo, Inc. | Information Technology | +6.1 | -7.2 | +5.9
R | Ryder System, Inc. | Industrials | -4.3 | -2.2 | +32.7
RDNT | RadNet, Inc. | Health Care | +18.9 | +36.5 | +5.7
REXR | Rexford Industrial Realty, Inc. | Real Estate | -1.9 | +5.8 | -6.2
RGEN | Repligen Corporation | Health Care | +28.3 | +46.0 | +48.0
RHP | Ryman Hospitality Properties, Inc. | Real Estate | -5.2 | +11.1 | +34.5
